"Flat 1,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4670000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7320000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7380000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 4,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5440000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 5,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7590000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5020000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5030000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,10/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5030000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4690000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7370000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7440000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 5,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7640000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5050000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5070000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5070000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,11/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5070000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,12/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4730000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,12/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7420000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 7,12/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5090000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,12/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5100000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,12/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5100000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 2,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7480000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 4,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5550000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 6,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7340000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5140000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5140000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,13/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5140000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4800000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7530000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7590000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 6,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7390000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5160000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5180000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,14/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5180000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4830000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 2,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7580000.0,579.0,440.0,35.0,10 Oct 2018
"Flat 3,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7650000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 4,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5630000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 5,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7860000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5210000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,15/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5210000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 1,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",4860000.0,391.0,304.0,35.0,10 Oct 2018
"Flat 3,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7700000.0,584.0,460.0,35.0,10 Oct 2018
"Flat 5,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7910000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 6,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7490000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5250000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,16/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5250000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 6,17/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7540000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 7,17/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5270000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,17/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5290000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,17/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5290000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 6,18/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",7600000.0,589.0,450.0,35.0,10 Oct 2018
"Flat 8,18/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5320000.0,422.0,325.0,35.0,10 Oct 2018
"Flat 8,18/F,Block/Tower A,Abba House,Aberdeen/Ap Lei Chau,Hong Kong",5320000.0,422.0,325.0,35.0,10 Oct 2018
